Title,Brand,RAM,HDD,CPU Model,Screen Size,Graphics,Rating,Price
"HP Victus 39.6 cm (15.6) Gaming Laptop 15, Silver",HP,16 GB,1 TB,Ryzen™ 5,15.6,Nvidia,4.3,"₹66,999"
"HP ProBook 450 39.6 cm (15.6) G9 Business Laptop, Silver",HP,16 GB,1 TB,i5,15.6,Intel,4.4,"₹89,999"
"HP OMEN 40.9 cm (16.1) Gaming Laptop 16, Black",HP,6 GB,16 GB,Ryzen™ 7,16.1,Nvidia,4.5,"₹101,999"
"HP Laptop 39.6 cm (15.6) 15-fd0111TU, Silver",HP,16 GB,512 GB,i5,15.6,Intel,4.4,"₹55,999"
HP ProBook 445 35.6 cm (14) G10 Business Laptop PC,HP,16 GB,NA,Ryzen™ 5,14,AMD,4.6,"₹68,999"
"HP Spectre x360 40.6 cm (16) 2-in-1 Laptop 16-aa0015TU, Black",HP,16 GB,1 TB,Ultra 7,16,Intel,4.8,"₹157,499"
"HP Chromebook X360 35.6 cm (14) 2-in-1 Laptop 14a-ca0504TU, Teal",HP,4 GB,64 GB,Celeron,14,Intel,4.2,"₹28,999"
"HP Laptop 35.6 cm (14) 14-gr1023TU, Silver",HP,16 GB,512 GB,i7,14,Intel,3.7,"₹87,999"
"HP ProBook 450 39.6 cm (15.6) G9 Business Laptop, Silver",HP,16 GB,1 TB,i5,15.6,Intel,4.4,"₹89,999"
"HP Victus 39.6 cm (15.6) Gaming Laptop 15, Blue",HP,16 GB,512 GB,Ryzen™ 5,15.6,AMD,4.3,"₹57,999"
"HP OMEN 40.9 cm (16.1) Gaming Laptop 16-xd0015AX, Black",HP,6GB,16 GB,Ryzen™ 7,16.1,Nvidia,4.5,"₹108,999"
"HP Laptop 39.6 cm (15.6) 15-fd0112TU, Silver",HP,8 GB,1 TB,i5,15.6,Intel,4.4,"₹55,999"
"HP Laptop 35.6 cm (14) 14-gr1022TU, Silver",HP,16 GB,512 GB,i5,14,Intel,3.7,"₹72,999"
"HP Laptop 39.6 cm (15.6) 15-fd0061TU, Silver",HP,8 GB,512 GB,i3,15.6,Intel,4.4,"₹40,534"
"HP 255 39.6 cm (15.6) G9 Business Laptop, Black",HP,4 GB,256 GB,NA,15.6,AMD,4.4,"₹27,999"
HP 250 39.6 cm (15.6) G9 Business Laptop PC,HP,8 GB,NA,i3,15.6,Intel,4.6,"₹37,999"
"HP Laptop 39.6 cm (15.6) 15-fd0220TU, Silver",HP,8 GB,8 GB,i5,15.6,Intel,4.4,"₹56,499"
"HP OMEN 40.9 cm (16.1) Gaming Laptop 16, Black",HP,16 GB,1TB,Ryzen™ 7,16.1,Nvidia,4.5,"₹120,999"
"HP Omnibook X Laptop 35.6 cm (14) 14-fe0121QU Next Gen AI PC, Silver",HP,16 GB,1 TB,NA,NA,Other,0.0,"₹139,999"
HP Pavilion Aero 33.8 cm (13) Laptop 13-bg0017AU,HP,16 GB,512 GB,Ryzen™ 7,13.3,AMD,4.5,"₹86,999"
"HP OMEN 40.9 cm (16.1) Gaming Laptop 16-wf0148TX, Black",HP,8GB,16 GB,i9,16.1,Nvidia,4.1,"₹165,506"
"HP Chromebook 35.6 cm (14) Laptop 14a-nf0014TU, Silver",HP,4 GB,64 GB,NA,14,Intel,0.0,"₹29,679"
"HP Chromebook x360 35.6 cm (14) Laptop 14b-cd0012TU, Silver",HP,8 GB,128 GB,NA,14,Intel,0.0,"₹40,279"
"HP Victus 39.6 cm (15.6) Gaming Laptop 15, Blue",HP,16 GB,512 GB,i5,15.6,Nvidia,4.3,"₹76,999"
HP ProBook 440 35.6 cm (14) G9 Business Laptop PC,HP,16 GB,NA,i7,14,Intel,0.0,"₹97,999"
"HP Victus 39.6 cm (15.6) Gaming Laptop 15-fa1276TX, Silver",HP,8GB,16 GB,i7,15.6,Nvidia,4.3,"₹105,999"
"HP Victus 39.6 cm (15.6) Gaming Laptop 15-fa1333TX, Silver",HP,8GB,16 GB,i7,15.6,Nvidia,4.3,"₹111,999"
"HP Chromebook 35.6 cm (14) Laptop 14a-nf0014TU, Silver",HP,4 GB,64 GB,NA,14,Intel,0.0,"₹29,679"
"HP Chromebook x360 35.6 cm (14) Laptop 14b-cd0014TU, Silver",HP,8 GB,256 GB,NA,14,Intel,0.0,"₹49,819"
"HP Laptop 39.6 cm (15.6) 15-fd0186TU, Silver",HP,8 GB,512 GB,i3,15.6,Intel,4.4,"₹42,599"
HP Pavilion Aero 33.8 cm (13) Laptop 13-bg0016AU,HP,16 GB,512 GB,Ryzen™ 5,13.3,AMD,4.5,"₹80,999"
HP ProBook 440 35.6 cm (14) G9 Business Laptop PC,HP,16 GB,NA,i7,14,Intel,4.4,"₹95,999"
"HP Victus 40.9 cm (16.1) Gaming Laptop 16, Blue",HP,16 GB,1 TB,i7,16.1,Nvidia,4.4,"₹101,999"
"HP ProBook 445 35.6 cm (14) G11 Business Laptop PC, Silver",HP,16 GB,512 GB,Ryzen™ 7,14,AMD,5.0,"₹102,590"
HP Omen Gaming Laptop 40.9 cm 16,HP,16 GB,1 TB,i7,16.1,Nvidia,4.6,"₹135,506"
"HP OMEN Transcend 35.6 cm (14) Gaming Laptop 14-fb0089TX, White",HP,16 GB,1 TB,Ultra 7,14,Nvidia,4.3,"₹161,506"
"HP 240 35.6 cm (14) G9 Business Laptop, Silver",HP,8 GB,512 GB,i3,14,Intel,4.2,"₹42,999"
HP ProBook 455 39.6 cm (15.6) G9 Business Laptop PC,HP,8 GB,NA,Ryzen™ 5,15.6,AMD,4.4,"₹49,999"
HP 240 35.6 cm (14) G9 Business Laptop PC,HP,8 GB,NA,i3,14,Intel,0.0,"₹51,999"
HP ProBook 445 35.6 cm (14) G10 Business Laptop PC,HP,8 GB,NA,Ryzen™ 5,14,AMD,4.6,"₹54,999"
"HP ProBook 440 35.6 cm (14) G9 Business Laptop, Silver",HP,8 GB,512 GB,i5,NA,Intel,4.3,"₹81,999"
HP Pavilion Laptop 39.6 cm (15.6) 15-eg3032TU - Silver,HP,16 GB,512 GB,i7,15.6,Intel,4.4,"₹84,999"
"HP Envy x360 39.6 cm (15.6) 2-in-1 Laptop 15-fe0027TU, Black",HP,16 GB,512 GB,i5,15.6,Intel,4.3,"₹90,999"
"HP Victus 40.9 cm (16.1) Gaming Laptop 16, Silver",HP,16 GB,512 GB,i7,16.1,Nvidia,4.4,"₹96,999"
"HP OMEN 40.9 cm (16.1) Gaming Laptop 16-xd0017AX, Black",HP,8GB,32 GB,Ryzen™ 7,16.1,Nvidia,4.5,"₹130,999"
HP 240 35.6 cm (14) G9 Business Laptop PC,HP,8 GB,NA,i3,14,Intel,0.0,"₹36,999"
"HP 250 39.6 cm (15.6) G9 Business Laptop, Silver",HP,16 GB,512 GB,i5,15.6,Intel,4.5,"₹59,733"
HP ProBook 450 39.6 cm (15.6) G9 Business Laptop PC,HP,8 GB,NA,i5,15.6,Intel,4.4,"₹59,999"
"HP Victus 39.6 cm (15.6) Gaming Laptop 15-fa0333TX, Blue",HP,16 GB,512 GB,i5,15.6,Nvidia,4.2,"₹70,114"
"HP Pavilion Plus 35.6 cm (14) Laptop 14-ew0115TU, Blue",HP,16 GB,512 GB,i5,14,Intel,0.0,"₹73,499"
"HP OMEN 40.9 cm (16.1) Gaming Laptop 16-wd0012TX, Black",HP,8GB,16 GB,i7,16.1,Nvidia,4.1,"₹129,999"
"HP OMEN 40.9 cm (16.1) Gaming Laptop 16-wf1095TX, Black",HP,6GB,16 GB,i7,16.1,Nvidia,4.6,"₹135,506"
HP Dragonfly 34.3 cm (13.5) G4 Business Laptop PC,HP,32 GB,NA,i7,13.5,Intel,4.6,"₹232,999"
"HP Chromebook x360 35.6 cm (14) Laptop 14b-cd0011TU, Silver",HP,4 GB,128 GB,NA,14,Intel,0.0,"₹36,039"
HP Laptop 39.6 cm (15.6) 15-fd0063TU - Silver,HP,8 GB,512 GB,i3,15.6,Intel,4.4,"₹41,999"
"HP Chromebook 35.6 cm (14) Laptop 14a-nf0017TU, Silver",HP,8 GB,256 GB,NA,14,Intel,0.0,"₹46,639"
"HP Chromebook x360 35.6 cm (14) Laptop 14b-cd0013TU, Silver",HP,8 GB,128 GB,NA,14,Intel,0.0,"₹47,699"
HP 240 35.6 cm (14) G9 Business Laptop PC,HP,8 GB,NA,i5,14,Intel,0.0,"₹50,999"
"HP Laptop 39.6 cm (15.6) 15-fd0070TU, Silver",HP,8 GB,512 GB,i5,15.6,Intel,4.4,"₹52,249"
