,Title,Brand,Screen_Size,CPU_Model,Ram,Operating_System,Rating,Color,Graphics,Disk_size,Card_desc,Price
1432,"dell inspiron 15.6-inch hd display laptop pc, intel core i3-7130u 2.7ghz processor, 8gb ddr4, 128gb ssd, stereo speakers, wifi, bluetooth, maxxaudio, hdmi, no dvd, intel hd graphics 620, windows 10",Dell,15.6,i3,8.0,windows 10,4.5,other,Intel,256,Integrated,22131.8
1433,"asus 2020 vivobook 15 15.6 inch fhd 1080p laptop (amd ryzen 3 3200u up to 3.5ghz, 8gb ddr4 ram, 256gb ssd, amd radeon vega 3, backlit keyboard, fp reader, wifi, bluetooth, hdmi, windows 10) (grey)",ASUS,15.6,ryzen3,8.0,windows 10,4.4,other,AMD,256,Integrated,40999.18
1434,"asus tuf gaming a15 gaming laptop, 15.6” 144hz fhd ips-type, amd ryzen 7 4800h, geforce gtx 1660 ti, 16gb ddr4, 512gb pcie ssd, gigabit wi-fi 5, windows 10 home, metal, tuf506iu-es74",ASUS,15.6,ryzen7,16.0,windows 10,4.5,gray,Nvidia,512,Dedicated,86018.0
1435,"asus vivobook 15.6"" oled fhd laptop, intel core i7-1165g7 processor, 16gb ram 1tb pcie ssd, backlit keyboard, fingerprint reader, bluetooth, webcam, windows 10 home, black",ASUS,15.6,i7,16.0,windows 10,3.5,black,Intel,1024,Integrated,76998.0
1436,"asus chromebook cx1, 15.6"" full hd nanoedge display, intel celeron n3350 processor, 64gb emmc storage, 8gb ram, chrome os, transparent silver, cx1500cna-as84f",ASUS,15.6,celeron,8.0,chrome_os,4.1,silver,Intel,64,Integrated,18367.18
1437,"asus 2022 14"" hd laptop, intel celeron n4020 processor, 4gb ram, 64gb emmc flash memory, intel hd graphics 500, hd webcam, stereo speakers, rose gold, windows 11s, 32gb usb card",ASUS,14.0,celeron,4.0,windows 11,4.0,gold,Intel,64,Integrated,17138.0
1438,"asus zenbook 14x oled laptop, 14” 2.8k 16:10 touch display, intel core i7-1260p cpu, nvidia geforce mx550, 16gb ram, 512gb ssd, windows 11 home, pine grey, ux5400zb-db74t",ASUS,14.0,i7,16.0,windows 11,4.2,other,Nvidia,512,other,111437.18000000001
1439,"asus vivobook 17x laptop, 17.3"" fhd display, amd ryzen 5 5600h cpu, amd radeon graphics, 8gb ram, 512gb ssd, fingerprint sensor, windows 11 home, quiet blue, s1703qa-as51",ASUS,17.3,ryzen5,8.0,windows 11,4.5,blue,AMD,512,Integrated,57399.18
1440,"asus tuf dash 15 (2021) ultra slim gaming laptop, 15.6â€  240hz fhd, geforce rtx 3070, intel core i7-11375h, 16gb ddr4, 1tb pcie nvme ssd, wi-fi 6, windows 10, moonlight white, tuf516pr-ds77-wh",ASUS,15.6,i7,16.0,windows 10,4.3,white,Intel,1024,other,112296.54000000001
1441,"2022 newest asus ultra thin light laptop computer, 15.6"" fhd display, intel celeron n4020 (upto 2.8ghz), 4gb ram, 128gb emmc,wifi, backlit keyboard,8-hour battery, microsoft 365, win10 s+hubxcelcable",ASUS,15.6,celeron,4.0,windows 10,4.0,other,Intel,128,other,24518.0
