Brand,Screen_Size,CPU_Model,Ram,Rating,Graphics,Disk_Size,Price
hp,15.6,ryzen5,16.0,4.350696378830084,amd,1024.0,49118.0
hp,15.6,i5,16.0,4.350696378830084,intel,512.0,57399.18
hp,15.6,celeron,4.0,4.350696378830084,intel,128.0,23779.18
hp,14.0,i7,32.0,4.350696378830084,intel,2048.0,159899.18
hp,14.0,i3,8.0,4.350696378830084,intel,1024.0,47478.0
hp,14.0,celeron,8.0,4.350696378830084,intel,128.0,24518.0
hp,15.6,i5,32.0,4.350696378830084,intel,1024.0,62319.18
asus,17.3,ryzen7,16.0,4.279166666666667,nvidia,512.0,81999.18000000001
dell,15.6,i5,16.0,4.2272727272727275,intel,256.0,49199.18
asus,16.0,i3,8.0,4.279166666666667,intel,128.0,49199.18
other,14.0,i3,4.0,4.160526315789474,intel,128.0,16399.18
dell,15.6,i7,64.0,4.2272727272727275,nvidia,4096.0,254199.18
asus,15.6,ryzen9,64.0,4.279166666666667,amd,1024.0,127919.18
dell,16.0,i7,24.0,4.2272727272727275,nvidia,1024.0,139318.0
dell,15.6,i7,32.0,4.2272727272727275,other,1024.0,188518.0
dell,14.0,i5,16.0,4.2272727272727275,intel,512.0,48305.380000000005
samsung,15.0,celeron,4.0,4.245238095238095,intel,64.0,29438.0
other,15.6,i7,16.0,4.160526315789474,intel,1024.0,106518.0
dell,14.0,ryzen5,16.0,4.2272727272727275,amd,1024.0,63058.0
asus,14.0,i7,16.0,4.279166666666667,nvidia,1024.0,104048.16
asus,15.6,i5,8.0,4.279166666666667,intel,256.0,73778.68000000001
asus,15.6,i3,4.0,4.279166666666667,intel,128.0,24436.0
asus,15.6,i3,4.0,4.279166666666667,intel,128.0,18778.0
asus,16.0,i7,16.0,4.279166666666667,nvidia,1024.0,106599.18
asus,11.6,celeron,4.0,4.279166666666667,intel,64.0,18039.18
asus,15.6,i7,16.0,4.279166666666667,nvidia,512.0,98399.18
asus,15.6,ryzen5,8.0,4.279166666666667,nvidia,512.0,65599.18000000001
asus,14.0,i7,16.0,4.279166666666667,nvidia,1024.0,105770.16
asus,14.0,i7,16.0,4.279166666666667,intel,512.0,102418.0
asus,11.6,i3,4.0,4.279166666666667,intel,64.0,11480.0
asus,14.0,ryzen5,16.0,4.279166666666667,nvidia,1024.0,57318.0
asus,14.0,i7,32.0,4.279166666666667,intel,2048.0,175776.84
asus,14.5,i7,24.0,4.279166666666667,intel,1024.0,88222.16
asus,15.6,ryzen7,16.0,4.279166666666667,nvidia,512.0,76997.18000000001
asus,16.0,i7,16.0,4.279166666666667,nvidia,2048.0,109879.18
asus,14.0,i3,4.0,4.279166666666667,intel,256.0,32718.0
asus,15.6,i5,16.0,4.279166666666667,nvidia,1024.0,79211.18000000001
asus,14.0,i5,8.0,4.279166666666667,intel,1024.0,53218.0
asus,15.6,i5,8.0,4.279166666666667,intel,512.0,47992.96
asus,17.3,i5,12.0,4.279166666666667,intel,1024.0,40918.0
asus,15.6,i7,16.0,4.279166666666667,intel,1024.0,90199.18
asus,11.0,celeron,4.0,4.279166666666667,intel,128.0,20499.18
dell,13.3,i7,16.0,4.2272727272727275,intel,512.0,103791.5
dell,14.0,i7,32.0,4.2272727272727275,intel,256.0,147190.0
dell,15.6,ryzen5,16.0,4.2272727272727275,amd,512.0,45091.8
dell,15.6,i7,16.0,4.2272727272727275,intel,512.0,111110.0
dell,14.0,i7,16.0,4.2272727272727275,intel,1024.0,73718.0
dell,14.0,i5,8.0,4.2272727272727275,intel,256.0,63876.36
dell,14.0,i7,16.0,4.2272727272727275,intel,256.0,106518.0
dell,17.3,i7,32.0,4.2272727272727275,nvidia,512.0,229518.0
dell,15.6,i7,32.0,4.2272727272727275,nvidia,512.0,135300.0
asus,15.6,i9,32.0,4.279166666666667,nvidia,1024.0,163098.0
asus,16.0,i7,16.0,4.279166666666667,nvidia,1024.0,102007.18
samsung,11.0,celeron,4.0,4.245238095238095,intel,32.0,11398.0
asus,14.0,i7,16.0,4.279166666666667,nvidia,1024.0,103811.18
dell,15.6,i7,16.0,4.2272727272727275,intel,512.0,159981.18
dell,14.0,i5,16.0,4.2272727272727275,intel,512.0,73718.0
asus,15.6,i3,8.0,4.279166666666667,intel,256.0,26978.0
samsung,15.6,i5,16.0,4.245238095238095,intel,256.0,114799.18
samsung,15.6,i7,16.0,4.245238095238095,intel,1024.0,113159.18
dell,14.0,i5,16.0,4.2272727272727275,intel,512.0,129964.26
other,11.0,celeron,4.0,4.160526315789474,intel,16.0,4508.36
dell,15.6,i9,32.0,4.2272727272727275,nvidia,1024.0,194664.72
dell,14.0,i7,16.0,4.2272727272727275,intel,256.0,129067.18
dell,16.0,i7,64.0,4.2272727272727275,intel,2048.0,155718.0
dell,14.0,ryzen5,16.0,4.2272727272727275,amd,1024.0,57399.18
asus,15.6,ryzen7,8.0,4.279166666666667,nvidia,1024.0,65518.0
asus,15.6,ryzen5,16.0,4.279166666666667,nvidia,512.0,56579.18
samsung,14.0,i7,16.0,4.245238095238095,intel,512.0,118899.18
